original_column,nr_of_occurrences,demo_values,llm description (sap gpt4turbo ([LLM Outputs.xlsx]llm sap cleaned gpt4turbo)),Informative Value,Link to data typ,Formula used for first draft
Logical System (AWSYS),1,"None,None,None",Identifies the specific system or client within the SAP landscape where the transaction occured.,indirect,UIDs - Other,
Pegged Reqmt (BAUGR),1,"T-FI100,MES_FG_03_BATCH_PI,QM_GN_ART_SEG006","Links a requirement to a specific source or cause, which can be critical for supply chain tracing.",indirect,UIDs - Other,
Prod. Sched. Profile (SFCPF),1,"YYY001,YYY001,YYY001","Contains settings that control production scheduling and hence can impact lead times and resource utilization (set of rules for production that includes runtimes, lot sizes, and other factors)",indirect,UIDs - Other,
AcctAssmtGrpMat (KTGRM),1,"1.0,1.0,1.0","This column typically contains the Material Account Assignment Group, which determines the G/L account assignments in sales",indirect,UIDs - Other,
Agreement (KONNR),1,"None,None,None","Holds the number of the purchasing document/agreement, such as contracts or scheduling agreements, used for procurement.",indirect,UIDs - Other,
Alternative (STLAL),1,"None,None,None",Alternative identifies a specific alternative BOM when multiple alternatives are available for producing the same product,indirect,UIDs - Other,
Assignment (ZUONR),1,"assignment,assignment,assignment",This column holds the unique assignment number given to each transaction - helpful in tracking a transaction.,indirect,UIDs - Other,
BOM (STLNR),1,"1.0,1.0,1.0","BOM is the Bill of Materials number, serving as a unique identifier for a set of components or materials required to build a product",indirect,UIDs - Other,
Business Trans. (GLVOR),1,"RFBU,RFBU,RFBU","Describes the type of business transaction in General Ledger, such as invoice, payment, adjustment.",indirect,UIDs - Other,
CCode (FI-AP) (BUKRS_FIAP),1,"1000.0,1000.0,1000.0","Company Code in FI-AP which indicates the company or subsidiary within the organization, often a numeric or alphanumeric value",indirect,UIDs - Other,
CCode(FI-AR) (BUKRS_FIAR),1,"1710.0,1710.0,1710.0","Company Code in Finance and Accounting-Receivables, which is a standard SAP organizational unit representing a separate legal entity for which a complete self-contained set of accounts can be drawn.",indirect,UIDs - Other,
Clearing TCode (TCODE_AUGBL),1,"FB1K,FB05,F110","Transaction code used for clearing, indicates the SAP transaction that was used for the clearing process",indirect,UIDs - Other,
Clrng doc. (AUGBL),1,"200024306.0,2000001258.0,2000000016.0","Clearing Document Number, indicating the unique ID of the clearing document in financial transactions",indirect,UIDs - Other,
Commitment items (COM_EXIST),1,"None,None,None","A flag indicating if commitment items are present in the transaction, with 'X' representing existence and blank for nonexistence.",indirect,UIDs - Other,
Ctrl. Recipe (CRID),1,"0,1,0",The control recipe ID contains information related to process instructions for product manufacturing.,indirect,UIDs - Other,
CtrlRec.Destin. (PHSEQ),1,"None,None,None","The destination sequence number in a control recipe, indicating the order of operations or destinations.",indirect,UIDs - Other,
Del. Item (POSNR),1,"0,10,10","The specific line item number in a delivery document,  includes identifiers such as '000010', '000020', etc.",indirect,UIDs - Other,
Delivery - Item (UVVLK),1,"C,A,A","The item number within a delivery, commonly a numerical value",indirect,UIDs - Other,
Delivery (VBELN_DEL),1,"8,004,115,300,800,420,000,000,000,000","The unique identification number of a delivery, usually a numerical code",indirect,UIDs - Other,
Delivery Document (VBELN),1,"80048492.0,80049550.0,80048947.0","This field contains the unique number assigned to the delivery document, which is used for tracking and identification.",indirect,UIDs - Other,
Delivery Item (POSNR_DEL),1,"900002,20,30",Identifies each item within a delivery  can be a sequential number or code.,indirect,UIDs - Other,
Document Number (BELNR),1,"510,000,161,051,000,000,000,000,000,000","The unique identifier for a financial document within a fiscal year, commonly a numeric string.",indirect,UIDs - Other,
FI Doc. (FI-AP) (BELNR_FIAP),1,"1234567899.0,1234567899.0,1234567899.0","Financial document number for FI-AP transactions, serving as a unique identifier",indirect,UIDs - Other,
FI Doc.(FI-AR) (BELNR_FIAR),1,"1234567898.0,1234567898.0,1234567898.0","The unique document number in the Fiscal Information system for Accounts Receivables, typically used for referencing and tracking financial transactions.",indirect,UIDs - Other,
FI Item(FI-AP) (BUZEI_FIAP),1,"10,0,0","Line item number in an Accounts Payable document, which is a numeric sequence",indirect,UIDs - Other,
FI Item(FI-AR) (BUZEI_FIAR),1,"0,10,0",Financial Accounting item number in Accounts Receivables that uniquely identifies each line item within an accounting document.,indirect,UIDs - Other,
G/L Account (HKONT),1,"22,020,000,160,000,100,000","Contains the General Ledger account number where the transaction is posted, representing where the financial impact of the transaction is recorded",indirect,UIDs - Other,
GI Document (BELNR_GI),1,"4900367581.0,4900362009.0,4900352528.0","Goods Issue Document Number in Financial Accounting, indicating the document ID for goods issued",indirect,UIDs - Other,
GI Item (BUZEI_GI),1,"0,1,1","Line Item within a Goods Issue document, represents the specific entry in the document",indirect,UIDs - Other,
GR Document (FI-AR) (BELNR_GR),1,"5001208416.0,5001157889.0,5001157888.0",Goods Receipt Document Number in Financial Accounting Accounts Receivable indicating the document ID for goods received,indirect,UIDs - Other,
GR Item (BUZEI_GR),1,"1,0,0","The line item number in the goods receipt document, usually a numerical value.",indirect,UIDs - Other,
GR: FI Doc (GR_BELNR),1,"5000079595.0,5000079594.0,5000079596.0","Financial Document Number in SAP representing a unique identifier for a goods receipt transaction, formatted as a 10-digit number.",indirect,UIDs - Other,
GR: GR/IR Clearing (GR_AUGBL_GRIR),1,"None,None,None","Reference number of the clearing document for Goods Receipt/Invoice Receipt, important for matching invoices with goods received.",indirect,UIDs - Other,
Info Record (INFNR),1,"5300002662.0,5300005580.0,5300002221.0","Contains the information record number, which is a reference number for a vendor-material combination that stores purchasing information.",indirect,UIDs - Other,
IR Document (BELNR_IR),1,"1234567890.0,1234567890.0,1234567890.0","The unique document number for the invoice receipt, often numerical.",indirect,UIDs - Other,
IR Item (BUZEI_IR),1,"10,0,10","Line item number in an invoice receipt document, usually a numeric value",indirect,UIDs - Other,
IR: Clearing (IR_AUGBL),1,"1200000001.0,1200000001.0,1200000001.0",Reference number for the clearing document that proves an invoice was matched with its entry in the financial system.,indirect,UIDs - Other,
IR: FI Doc (IR_BELNR),1,"5100069220.0,5100069218.0,5100050367.0","Unique number identifying a Financial Accounting (FI) document within SAP, which is linked to an invoice receipt (IR).",indirect,UIDs - Other,
IR: GR/IR Clearing (IR_AUGBL_GRIR),1,"1000000001.0,1000000001.0,1000000001.0","Reference number of the clearing document for Invoice Receipt, important for closing out payment transactions.",indirect,UIDs - Other,
Item (BUZEI),1,"1,2,1","The line item number in a document, represents individual entries in a transaction.",indirect,UIDs - Other,
Item (RSPOS),1,"3,4,9","Item number of a reservation,  usually a numeric value",indirect,UIDs - Other,
Last TO item (TAPOS),1,"2,0,1","Represents the item number of the last transfer order, which can also be used in tracking and inventory management",indirect,UIDs - Other,
Last transfer order (TANUM),1,"0,10973,10791","Stores the document number of the last transfer order, a critical element in warehouse operations and logistics",indirect,UIDs - Other,
Material (PLNBEZ),1,"DIMP_MILL_PRD_PROCESS_ORDER_TEST_FERT_02,000000000000210377,MFG-MUFFIN-1","Material identifies the material number associated with the task list, which can refer to raw materials, parts, or end products",indirect,UIDs - Other,
Material Doc. (MBLNR),1,"4900482455.0,4900481695.0,4900481686.0","A unique document number referencing material movements in inventory, such as receipts or issues.",indirect,UIDs - Other,
Object Number (OBJNR),1,"OR000001931030,OR000001931646,OR000001931200","Object Number is a unique identifier for an object within the SAP system, such as equipment, functional location, order, etc.",indirect,UIDs - Other,
Posting Key (BSCHL),1,"31,31,31","Defines the type of transaction, such as debit or credit, and determines the account type it's posted to - this affects how transactions are processed and displayed",indirect,UIDs - Other,
PrDocLogSys (VGSYS),1,"None,None,None","Contains the logical system of the purchase document origin, could be an alphanumeric identifier.",indirect,UIDs - Other,
Prod. Version (VERID),1,"0004,PV3,P002","Stores the specific version of the production process being used, which may include manufacturing steps and resource usage",indirect,UIDs - Other,
Ref. Transactn (AWTYP),1,"BKPFF,BKPF,BKPF","Specifies the reference transaction type, which might be a particular document type or transaction code.",indirect,UIDs - Other,
Reference (XBLNR),1,"None,None,None","Stores a reference number for the document, like an invoice or purchase order number, which is used to match transactions to physical documents or other systems",indirect,UIDs - Other,
Reference Key (AWKEY),1,"5100000016CN882021,5100001249PDE12021,5100001221PYF32021",This is an automatic reference key that SAP generates to uniquely identify the transaction entry.,indirect,UIDs - Other,
RejectionReason (ABGRU),1,"03,ZR,CR","The code or reason for rejection of a delivery or item, often alphanumeric.",indirect,UIDs - Other,
Release TCode (TCODE_RELEASE),1,"ZFBL1N,YFB02,/MRBR","Transactional Code used for releasing a purchase order or document in SAP, indicating the code used in this operation.",indirect,UIDs - Other,
Requisn Item (BNFPO),1,"None,None,None","Contains the purchase requisition item number, often a sequential or unique identifier.",indirect,UIDs - Other,
Reservation (RSNUM),1,"394,869,939,520,373,000,000","Number associating the reservation with specific materials,  typically a numeric value",indirect,UIDs - Other,
Reversed With (STBLG),1,"5100001714.0,5100001712.0,5100001715.0","Stores the document number of the original document if the current document reverses a previous entry, helping to maintain a clear audit trail",indirect,UIDs - Other,
Sales Document (VBELN),1,"647,126,470,545,637","The unique identification number of a sales document, like a sales order, usually a numerical code",indirect,UIDs - Other,
Schedule Line (ETENR),1,"1,1,1","A unique identifier for a schedule line in a sales order, which specifies the delivery dates and quantities",indirect,UIDs - Other,
SD Invoice (VBELN_INV),1,"5200000010.0,5200000010.0,5200000010.0","Sales and distribution (SD) invoice number, which is a unique identifier for each invoice record",indirect,UIDs - Other,
SD Invoice Item (POSNR_INV),1,"10,0,10","Invoice item number, identifying each line item within an invoice, which can be a sequence of integers",indirect,UIDs - Other,
Sold-to Party (KUNAG),1,"ATP_CUST02,JV_BOM02,0000011305","This column stores the unique identifier for the customer who placed the order,  establishing a contract for sale.",indirect,UIDs - Other,
Sold-to Party (KUNNR),1,"KM_CUST5,ATP_CUST02,ASH_CUST","Customer number, identifying the recipient of the goods or services, usually a numeric or alphanumeric string.",indirect,UIDs - Other,
TCode (FI-AP) (TCODE_FIAP),1,"None,None,None","The transaction code used in SAP for Financial Accounting Accounts Payable processes, could be codes like 'FB60' for invoice entry.",indirect,UIDs - Other,
TCode (FI-AR) (TCODE_FIAR),1,"None,None,None","Transaction code in FI-AR indicating the specific process executed (e.g., FB70 for invoice creation)",indirect,UIDs - Other,
TCode Delivery (TCODE_DEL),1,"SE38,SE38,SE38","The transaction code related to the delivery process in SAP, which identifies the type of transaction carried out,  e.g., 'VL01N' for Create Delivery.",indirect,UIDs - Other,
Transaction (TCODE),1,"None,None,None","Stores the transaction code, which is the unique identifier for a specific transaction in the SAP system, like 'VA01' for creating sales orders.",indirect,UIDs - Other,
Transaction Code (TCODE_DEL),1,"VA01,VL10X,VL01","The SAP transaction code used for the delivery process, usually alphanumeric.",indirect,UIDs - Other,
Transaction Code (TCODE2),1,"MB1A,CO11N,CO11N","The code representing a specific SAP transaction that was executed, such as creating or changing a record.",indirect,UIDs - Other,
Warehouse nr. (Del.) (LGNUM_LIPS),1,"100,100,100","The identifier for a delivery's warehouse, which can have numerical or alphanumeric values.",indirect,UIDs - Other,
User group (CLASS),7,"TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER,TESTER","A group to which the user belongs, that could define roles like 'Administrator', 'Manager', etc.",indirect,UIDs - User,
User Type (USTYP),7,"A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,S,S,A,A,A","The category of the user, which might include types such as 'Employee', 'Vendor', or 'Customer'.",indirect,UIDs - User,
Created By (ERNAM),5,"KARAMBIZI,PANDAPR,STROHECKER,BOLGARIN,HABIBULLINA,ZHANGXUW,None,None,None,SEBASTIANME,BASAVANNA,C5313362,YONGGANG,MRA,D025975","Shows the user ID of the person who created the entry, like 'JDOE' for John Doe.",indirect,UIDs - User,
Entered By (ERNAM),2,"C5304296,LIUQI0,WANGOLIV0,C5317887,WENJE,C5330951","Identifier of the user who entered the data in the system, could be a username or employee ID",indirect,UIDs - User,
MRP Controller (DISPO),2,"PP1,001,001,None,None,None","Person or group responsible for material requirements planning activities, often critical in inventory and production planning",indirect,UIDs - User,
User Name (USNAM),2,"DMCTESTER,DMCTESTER,DMCTESTER,None,None,None","Identifies the user who created or last changed a transaction, typically storing a username or employee ID.",indirect,UIDs - User,
Created By (ERNAM_DEL),1,"WALLAW,TMINTEGRATOR,C5215487",The user ID of the person who created the delivery document.,indirect,UIDs - User,
Delivery created by (ERNAM_DEL),1,"FEIS,FEIS,FEIS",Stores the identifier (username or ID) of the person who created the delivery entry.,indirect,UIDs - User,
Delivery User Group (CLASS_DEL),1,"TESTER,TESTER,TESTER","User group classification which the delivery falls under, indicating the department or user group responsible",indirect,UIDs - User,
Delivery User Type (USTYP_DEL),1,"A,A,A","Indicates the user type involved in the delivery process, such as 'Admin,' 'Customer,' or 'Supplier.'",indirect,UIDs - User,
Group (Entered by) (CLASS),1,"TESTER,TESTER,TESTER","Typically contains the user group or user ID that entered the transaction, which may help in tracking who is responsible for certain data entries",indirect,UIDs - User,
Prodn Supervisor (FEVOR),1,"1.0,1.0,1.0",Represents the production supervisor responsible for overseeing the manufacturing process,indirect,UIDs - User,
Released by (USERNAME_RELEASE),1,"LIUKIK,LIUKIK,LIUKIK","The username of the person who released the document or transaction from a payment block, typically shown as a user ID.",indirect,UIDs - User,
Requisitioner (AFNAM),1,"None,None,None",The name or identifier of the person who has raised the requisition or purchase request.,indirect,UIDs - User,
SD Inv. created by (ERNAM_INV),1,"None,None,None","The username or identifier of the employee who created the invoice, used for tracking and accountability",indirect,UIDs - User,
SD Inv. User Group (CLASS_INV),1,"None,None,None","This represents the user group of the person who created the invoice, such as Sales or Accounting, which may be indicated by internal codes or descriptive names",indirect,UIDs - User,
SD Inv. User Type (USTYP_INV),1,"None,None,None","This column contains the type of user who made the invoice, which could be an internal employee, external partner, etc., often represented by specific codes",indirect,UIDs - User,
Parked By (PPNAM),1,"None,None,None",Indicates the user name of the person who parked the document.,indirect,UIDs - User,
,,,,,,
,,,,,,
,,,Indirect,235,56%,
,,,Direct,187,44%,
,,,Not found,0,,
,,,Total:,422,,
,,,Check,100%,,
,,,,,,
,,,,,,
,,,,Final checked:,No,
,,,,When?,,
